Videocard Name,G3D Mark -,G2D Mark -
GeForce GTX 780M,"3,755",386
GeForce GTX 850A,"1,050",551
GeForce GTX 850M,"2,581",224
GeForce GTX 850M - MODDED,"1,092",819
GeForce GTX 860M,"3,042",226
GeForce GTX 870M,"3,383",294
GeForce GTX 880M,"3,876",347
GeForce GTX 950,"5,389",640
GeForce GTX 950A,"2,540",308
GeForce GTX 950M,"2,604",219
GeForce GTX 960,"6,044",669
GeForce GTX 960A,"2,411",631
GeForce GTX 960M,"3,427",245
GeForce GTX 965M,"3,870",342
GeForce GTX 970,"9,691",780
GeForce GTX 970M,"5,783",402
GeForce GTX 970XM FORCE,"6,707",725
GeForce GTX 980,"11,239",815
GeForce GTX 980 Ti,"13,862",853
GeForce GTX 980M,"7,314",515
GeForce GTX Titan,"8,556",660
GeForce GTX TITAN Black,"9,096",603
GeForce GTX TITAN X,"13,084",833
GeForce GTX TITAN Z,"9,189",648
GeForce MX110,"1,469",195
GeForce MX130,"1,899",195
GeForce MX150,"2,314",218
GeForce MX230,"1,887",219
GeForce MX250,"2,521",250
GeForce MX330,"2,545",233
GeForce MX350,"2,862",243
GeForce MX450,"3,754",297
GeForce MX550,"5,062",335
GeForce PCX 5300,6,197
GeForce PCX 5750,35,310
GeForce PCX 5900,34,258
GeForce RTX 2050,"8,007",380
GeForce RTX 2060,"13,941",751
GeForce RTX 2060 (Mobile),"11,355",540
GeForce RTX 2060 SUPER,"16,504",881
GeForce RTX 2060 with Max-Q Design,"9,730",434
GeForce RTX 2070,"16,085",833
GeForce RTX 2070 (Mobile),"12,354",601
GeForce RTX 2070 SUPER,"18,169",896
GeForce RTX 2070 Super with Max-Q Design,"14,267",687
GeForce RTX 2070 with Max-Q Design,"12,112",509
GeForce RTX 2080,"18,717",916
GeForce RTX 2080 (Mobile),"15,107",812
GeForce RTX 2080 SUPER,"19,514",934
GeForce RTX 2080 Super with Max-Q Design,"14,012",621
GeForce RTX 2080 Ti,"21,782",940
GeForce RTX 2080 with Max-Q Design,"13,662",574
GeForce RTX 3050,"12,686",903
GeForce RTX 3050 Laptop GPU,"8,999",411
GeForce RTX 3050 Ti Laptop GPU,"9,457",416
GeForce RTX 3060,"16,921",946
GeForce RTX 3060 Laptop GPU,"12,625",550
GeForce RTX 3060 Ti,"20,199",959
GeForce RTX 3070,"22,081",969
GeForce RTX 3070 Laptop GPU,"15,223",652
GeForce RTX 3070 Ti,"23,261",994
GeForce RTX 3070 Ti Laptop GPU,"18,734",692
GeForce RTX 3080,"24,797","1,002"
GeForce RTX 3080 Laptop GPU,"16,553",663
GeForce RTX 3080 Ti,"26,764","1,024"
GeForce RTX 3080 Ti Laptop GPU,"19,093",744
GeForce RTX 3090,"26,353",997
GeForce RTX 3090 Ti,"30,812","1,141"
GeForce2 Go,4,95
GeForce2 GTS/GeForce2 Pro,4,136
GeForce2 Integrated GPU,4,171
GeForce2 MX,3,143
GeForce2 MX 100/200,3,119
GeForce2 MX with DVI-D and TV-out,5,187
GeForce2 MX/MX 400,4,129
GeForce2 Ti,5,149
GeForce2 Ultra,6,147
GeForce3,5,120
GeForce3 Ti 200,4,140
GeForce3 Ti 500,3,116
GeForce4 420 Go,3,147
GeForce4 420 Go 32M,5,168
GeForce4 4200 Go,4,173
GeForce4 440,5,193
GeForce4 440 Go,4,140
GeForce4 440 Go 64M,6,156
GeForce4 448 Go,6,199
GeForce4 MX 4000,5,131
GeForce4 MX 420,5,168
GeForce4 MX 440,5,140
GeForce4 MX 440 with AGP8X,5,157
GeForce4 MX 440SE,5,159
GeForce4 MX 460,4,176
GeForce4 MX Integrated GPU,7,198
GeForce4 Ti 4200,6,154
GeForce4 Ti 4400,7,170
GeForce4 Ti 4600,6,173
GeForce4 Ti 4800,6,190
GeForce4 Ti 4800 SE,7,187
GeForce9400M,106,161
GF117,554,446
GIGABYTE RADEON 9600 PRO,39,129
Gigabyte RADEON X300,41,209
